"rules","support","confidence","coverage","lift","count"
"{housing=yes,poutcome=success,emp.var.rate=[-3.4,-0.1),euribor3m=[0.634,4.02)} => {y=yes}",0.0119452267650772,0.663967611336032,0.0179906768961834,5.89385732235097,492
"{housing=yes,previous=[0,7],poutcome=success,emp.var.rate=[-3.4,-0.1)} => {y=yes}",0.0119452267650772,0.663967611336032,0.0179906768961834,5.89385732235097,492
"{housing=yes,pdays=[0,999],poutcome=success,emp.var.rate=[-3.4,-0.1)} => {y=yes}",0.0119452267650772,0.663967611336032,0.0179906768961834,5.89385732235097,492
"{housing=yes,poutcome=success,euribor3m=[0.634,4.02),nr.employed=[4.96e+03,5.19e+03)} => {y=yes}",0.0119452267650772,0.663967611336032,0.0179906768961834,5.89385732235097,492
"{housing=yes,previous=[0,7],poutcome=success,nr.employed=[4.96e+03,5.19e+03)} => {y=yes}",0.0119452267650772,0.663967611336032,0.0179906768961834,5.89385732235097,492
"{housing=yes,pdays=[0,999],poutcome=success,nr.employed=[4.96e+03,5.19e+03)} => {y=yes}",0.0119452267650772,0.663967611336032,0.0179906768961834,5.89385732235097,492
"{housing=yes,previous=[0,7],poutcome=success,euribor3m=[0.634,4.02)} => {y=yes}",0.0119452267650772,0.663967611336032,0.0179906768961834,5.89385732235097,492
"{housing=yes,pdays=[0,999],poutcome=success,euribor3m=[0.634,4.02)} => {y=yes}",0.0119452267650772,0.663967611336032,0.0179906768961834,5.89385732235097,492
"{loan=no,poutcome=success,emp.var.rate=[-3.4,-0.1)} => {y=yes}",0.0178207244828591,0.662454873646209,0.0269010391376129,5.88042916718536,734
"{loan=no,poutcome=success,nr.employed=[4.96e+03,5.19e+03)} => {y=yes}",0.0178207244828591,0.662454873646209,0.0269010391376129,5.88042916718536,734
"{loan=no,poutcome=success,euribor3m=[0.634,4.02)} => {y=yes}",0.0178207244828591,0.662454873646209,0.0269010391376129,5.88042916718536,734
"{loan=no,poutcome=success,emp.var.rate=[-3.4,-0.1),nr.employed=[4.96e+03,5.19e+03)} => {y=yes}",0.0178207244828591,0.662454873646209,0.0269010391376129,5.88042916718536,734
"{loan=no,poutcome=success,emp.var.rate=[-3.4,-0.1),euribor3m=[0.634,4.02)} => {y=yes}",0.0178207244828591,0.662454873646209,0.0269010391376129,5.88042916718536,734
